symbol,interval,ts,open,high,low,close,volume,created_at,updated_at
BTC-USD,1h,2025-11-08 08:00:00.000000 +00:00,102295.7800000000,102628.6000000000,102103.2300000000,102381.1900000000,170.3115352600,2025-11-14 20:41:14.648698 +00:00,2025-11-14 20:41:14.648698 +00:00
BTC-USD,1h,2025-11-08 09:00:00.000000 +00:00,102381.1900000000,102569.9900000000,102172.0000000000,102342.0000000000,87.2244726400,2025-11-14 20:41:14.648698 +00:00,2025-11-14 20:41:14.648698 +00:00
BTC-USD,1h,2025-11-08 10:00:00.000000 +00:00,102340.8100000000,102530.0100000000,102247.7300000000,102429.3000000000,89.3067934600,2025-11-14 20:41:14.648698 +00:00,2025-11-14 20:41:14.648698 +00:00
BTC-USD,1h,2025-11-08 11:00:00.000000 +00:00,102429.3000000000,102592.9100000000,101680.0000000000,101811.8300000000,187.6365571200,2025-11-14 20:41:14.648698 +00:00,2025-11-14 20:41:14.648698 +00:00
BTC-USD,1h,2025-11-08 12:00:00.000000 +00:00,101814.5900000000,102063.5900000000,101692.2100000000,102018.8000000000,127.4013618700,2025-11-14 20:41:14.648698 +00:00,2025-11-14 20:41:14.648698 +00:00
BTC-USD,1h,2025-11-08 13:00:00.000000 +00:00,102018.8100000000,102155.9800000000,101670.9000000000,101754.7800000000,233.7746625700,2025-11-14 20:41:14.648698 +00:00,2025-11-14 20:41:14.648698 +00:00
BTC-USD,1h,2025-11-08 14:00:00.000000 +00:00,101768.0000000000,102048.6000000000,101422.7400000000,101800.3400000000,263.0451809600,2025-11-14 20:41:14.648698 +00:00,2025-11-14 20:41:14.648698 +00:00
BTC-USD,1h,2025-11-08 15:00:00.000000 +00:00,101800.3400000000,101941.7200000000,101466.0000000000,101684.5400000000,205.5351273500,2025-11-14 20:41:14.648698 +00:00,2025-11-14 20:41:14.648698 +00:00
BTC-USD,1h,2025-11-08 16:00:00.000000 +00:00,101684.5400000000,101943.3700000000,101500.0000000000,101824.0000000000,206.4045653600,2025-11-14 20:41:14.648698 +00:00,2025-11-14 20:41:14.648698 +00:00
BTC-USD,1h,2025-11-08 17:00:00.000000 +00:00,101824.0100000000,101985.3100000000,101551.6700000000,101969.0800000000,268.9229428900,2025-11-14 20:41:14.648698 +00:00,2025-11-14 20:41:14.648698 +00:00
BTC-USD,1h,2025-11-08 18:00:00.000000 +00:00,101977.6400000000,102196.2300000000,101807.2000000000,102108.9000000000,215.3077060700,2025-11-14 20:41:14.648698 +00:00,2025-11-14 20:41:14.648698 +00:00
