id,article_id,coin,polarity,aspects,confidence,ts,zscore_window,zscore,created_at,updated_at
35,36,BTC,0.00000,{hype},0.60000,2025-11-14 19:00:18.000000 +00:00,6,0.44721,2025-11-14 20:41:03.296782 +00:00,2025-11-14 20:41:03.296782 +00:00
36,37,BTC,0.00000,{},0.40000,2025-11-14 19:02:18.000000 +00:00,6,0.24254,2025-11-14 20:41:03.299290 +00:00,2025-11-14 20:41:03.299290 +00:00
37,37,CORE,0.00000,{},0.40000,2025-11-14 19:02:18.000000 +00:00,6,,2025-11-14 20:41:03.299290 +00:00,2025-11-14 20:41:03.299290 +00:00
38,37,ETH,0.00000,{},0.40000,2025-11-14 19:02:18.000000 +00:00,6,-0.44721,2025-11-14 20:41:03.299290 +00:00,2025-11-14 20:41:03.299290 +00:00
39,37,UNI,0.00000,{},0.40000,2025-11-14 19:02:18.000000 +00:00,6,,2025-11-14 20:41:03.299290 +00:00,2025-11-14 20:41:03.299290 +00:00
40,38,BTC,-1.00000,{},0.63000,2025-11-14 19:02:45.000000 +00:00,6,-1.21268,2025-11-14 20:41:03.301911 +00:00,2025-11-14 20:41:03.301911 +00:00
41,40,XRP,1.00000,{hype},0.95000,2025-11-14 19:05:53.000000 +00:00,6,0.92848,2025-11-14 20:41:03.306131 +00:00,2025-11-14 20:41:03.306131 +00:00
42,41,BTC,1.00000,{},0.76000,2025-11-14 19:06:38.000000 +00:00,6,1.69775,2025-11-14 20:41:03.308328 +00:00,2025-11-14 20:41:03.308328 +00:00
43,41,SOL,1.00000,{},0.76000,2025-11-14 19:06:38.000000 +00:00,6,,2025-11-14 20:41:03.308328 +00:00,2025-11-14 20:41:03.308328 +00:00
44,41,XRP,1.00000,{},0.76000,2025-11-14 19:06:38.000000 +00:00,6,0.65465,2025-11-14 20:41:03.308328 +00:00,2025-11-14 20:41:03.308328 +00:00
45,43,SOL,1.00000,"{hype,regulatory}",0.76000,2025-11-14 19:09:39.000000 +00:00,6,,2025-11-14 20:41:03.312406 +00:00,2025-11-14 20:41:03.312406 +00:00
46,44,BTC,0.00000,{regulatory},0.40000,2025-11-14 19:13:18.000000 +00:00,6,0.24254,2025-11-14 20:41:03.314554 +00:00,2025-11-14 20:41:03.314554 +00:00
47,44,ETH,0.00000,{regulatory},0.40000,2025-11-14 19:13:18.000000 +00:00,6,-1.00000,2025-11-14 20:41:03.314554 +00:00,2025-11-14 20:41:03.314554 +00:00
48,44,XRP,0.00000,{regulatory},0.40000,2025-11-14 19:13:18.000000 +00:00,6,-1.41421,2025-11-14 20:41:03.314554 +00:00,2025-11-14 20:41:03.314554 +00:00
49,45,BTC,-1.00000,{},0.63000,2025-11-14 19:15:28.000000 +00:00,6,-1.21268,2025-11-14 20:41:03.316862 +00:00,2025-11-14 20:41:03.316862 +00:00
50,45,ETH,-1.00000,{},0.63000,2025-11-14 19:15:28.000000 +00:00,6,-1.69775,2025-11-14 20:41:03.316862 +00:00,2025-11-14 20:41:03.316862 +00:00
51,48,BTC,1.00000,{},0.76000,2025-11-14 19:17:43.000000 +00:00,6,1.22474,2025-11-14 20:41:03.322345 +00:00,2025-11-14 20:41:03.322345 +00:00
52,51,ETH,1.00000,"{hype,regulatory,security}",0.95000,2025-11-14 19:21:31.000000 +00:00,6,1.21268,2025-11-14 20:41:03.327525 +00:00,2025-11-14 20:41:03.327525 +00:00
53,52,XRP,-1.00000,{},0.63000,2025-11-14 19:23:28.000000 +00:00,6,-1.96396,2025-11-14 20:41:03.329937 +00:00,2025-11-14 20:41:03.329937 +00:00
54,53,BTC,-1.00000,{},0.63000,2025-11-14 19:24:09.000000 +00:00,6,-0.92848,2025-11-14 20:41:03.332166 +00:00,2025-11-14 20:41:03.332166 +00:00
55,53,CORE,-1.00000,{},0.63000,2025-11-14 19:24:09.000000 +00:00,6,,2025-11-14 20:41:03.332166 +00:00,2025-11-14 20:41:03.332166 +00:00
56,54,BTC,-1.00000,{regulatory},0.90000,2025-11-14 19:25:12.000000 +00:00,6,-0.92848,2025-11-14 20:41:03.334292 +00:00,2025-11-14 20:41:03.334292 +00:00
57,55,ETH,0.00000,{},0.40000,2025-11-14 19:25:22.000000 +00:00,6,0.00000,2025-11-14 20:41:03.336539 +00:00,2025-11-14 20:41:03.336539 +00:00
58,56,ADA,-1.00000,{},0.63000,2025-11-14 19:27:20.000000 +00:00,6,,2025-11-14 20:41:03.338838 +00:00,2025-11-14 20:41:03.338838 +00:00
59,60,ADA,0.00000,{hype},0.40000,2025-11-14 19:30:00.000000 +00:00,6,,2025-11-14 20:41:03.346185 +00:00,2025-11-14 20:41:03.346185 +00:00
60,60,BNB,0.00000,{hype},0.40000,2025-11-14 19:30:00.000000 +00:00,6,,2025-11-14 20:41:03.346185 +00:00,2025-11-14 20:41:03.346185 +00:00
