symbol,name,created_at,updated_at
BTC,BTC,2025-11-26 22:17:57.332702 +00:00,2025-11-26 22:17:57.332702 +00:00
ETH,ETH,2025-11-26 22:17:57.717992 +00:00,2025-11-26 22:17:57.717992 +00:00
ARB,ARB,2025-11-27 11:09:44.580903 +00:00,2025-11-27 11:09:44.580903 +00:00
DOGE,DOGE,2025-11-27 11:09:45.239886 +00:00,2025-11-27 11:09:45.239886 +00:00
SOL,SOL,2025-11-27 11:09:45.853496 +00:00,2025-11-27 11:09:45.853496 +00:00
USDT,USDT,2025-11-27 11:10:13.499719 +00:00,2025-11-27 11:10:13.499719 +00:00
XRP,XRP,2025-11-27 23:17:54.753342 +00:00,2025-11-27 23:17:54.753342 +00:00
ADA,ADA,2025-11-27 23:19:41.797404 +00:00,2025-11-27 23:19:41.797404 +00:00
