id,article_id,coin,polarity,aspects,confidence,ts,zscore_window,zscore,created_at,updated_at
35,41,SOL,-1.00000,{regulatory},0.63000,2025-11-26 20:14:36.000000 +00:00,6,,2025-11-26 22:17:55.779021 +00:00,2025-11-26 22:17:55.779021 +00:00
36,42,BTC,1.00000,{hype},0.76000,2025-11-26 20:15:26.000000 +00:00,6,1.00000,2025-11-26 22:17:55.781528 +00:00,2025-11-26 22:17:55.781528 +00:00
37,42,XRP,1.00000,{hype},0.76000,2025-11-26 20:15:26.000000 +00:00,6,0.65465,2025-11-26 22:17:55.781528 +00:00,2025-11-26 22:17:55.781528 +00:00
38,46,BTC,-1.00000,{regulatory},0.79000,2025-11-26 20:22:31.000000 +00:00,6,-1.78885,2025-11-26 22:17:55.788687 +00:00,2025-11-26 22:17:55.788687 +00:00
39,46,USDT,-1.00000,{regulatory},0.79000,2025-11-26 20:22:31.000000 +00:00,6,,2025-11-26 22:17:55.788687 +00:00,2025-11-26 22:17:55.788687 +00:00
40,47,BTC,-1.00000,{},0.71000,2025-11-26 20:28:06.000000 +00:00,6,-1.22474,2025-11-26 22:17:55.791029 +00:00,2025-11-26 22:17:55.791029 +00:00
41,47,USDT,-1.00000,{},0.71000,2025-11-26 20:28:06.000000 +00:00,6,,2025-11-26 22:17:55.791029 +00:00,2025-11-26 22:17:55.791029 +00:00
42,48,SOL,-1.00000,{regulatory},0.87000,2025-11-26 20:30:03.000000 +00:00,6,,2025-11-26 22:17:55.793388 +00:00,2025-11-26 22:17:55.793388 +00:00
43,50,BTC,-1.00000,{},0.90000,2025-11-26 20:36:17.000000 +00:00,6,-0.89443,2025-11-26 22:17:55.797389 +00:00,2025-11-26 22:17:55.797389 +00:00
44,50,USDT,-1.00000,{},0.90000,2025-11-26 20:36:17.000000 +00:00,6,,2025-11-26 22:17:55.797389 +00:00,2025-11-26 22:17:55.797389 +00:00
45,52,XRP,0.00000,{},0.40000,2025-11-26 20:42:07.000000 +00:00,6,-0.65465,2025-11-26 22:17:55.801553 +00:00,2025-11-26 22:17:55.801553 +00:00
46,53,BTC,1.00000,{hype},0.84000,2025-11-26 20:43:14.000000 +00:00,6,1.29987,2025-11-26 22:17:55.803738 +00:00,2025-11-26 22:17:55.803738 +00:00
