leader,follower,window,computed_ts,best_lag_min,strength
SOL,ETH,1h,2025-11-27 12:10:37.313002 +00:00,0,0.857048
SOL,USDT,1h,2025-11-27 12:10:37.313002 +00:00,0,0.113677
USDT,BTC,1h,2025-11-27 12:10:37.313002 +00:00,0,0.160963
USDT,ETH,1h,2025-11-27 12:10:37.313002 +00:00,0,0.210886
USDT,SOL,1h,2025-11-27 12:10:37.313002 +00:00,0,0.113677
BTC,ETH,4h,2025-11-27 12:10:37.313002 +00:00,0,0.899035
BTC,SOL,4h,2025-11-27 12:10:37.313002 +00:00,0,0.803508
BTC,USDT,4h,2025-11-27 12:10:37.313002 +00:00,0,0.360203
ETH,BTC,4h,2025-11-27 12:10:37.313002 +00:00,0,0.899035
ETH,SOL,4h,2025-11-27 12:10:37.313002 +00:00,0,0.859361
ETH,USDT,4h,2025-11-27 12:10:37.313002 +00:00,0,0.357545
SOL,BTC,4h,2025-11-27 12:10:37.313002 +00:00,0,0.803508
SOL,ETH,4h,2025-11-27 12:10:37.313002 +00:00,0,0.859361
SOL,USDT,4h,2025-11-27 12:10:37.313002 +00:00,0,0.328732
USDT,BTC,4h,2025-11-27 12:10:37.313002 +00:00,0,0.360203
USDT,ETH,4h,2025-11-27 12:10:37.313002 +00:00,0,0.357545
USDT,SOL,4h,2025-11-27 12:10:37.313002 +00:00,0,0.328732
BTC,ETH,1h,2025-11-27 23:11:32.470615 +00:00,0,0.895823
BTC,SOL,1h,2025-11-27 23:11:32.470615 +00:00,0,0.825298
BTC,USDT,1h,2025-11-27 23:11:32.470615 +00:00,0,0.158118
ETH,BTC,1h,2025-11-27 23:11:32.470615 +00:00,0,0.895823
ETH,SOL,1h,2025-11-27 23:11:32.470615 +00:00,0,0.857731
ETH,USDT,1h,2025-11-27 23:11:32.470615 +00:00,0,0.206899
SOL,BTC,1h,2025-11-27 23:11:32.470615 +00:00,0,0.825298
SOL,ETH,1h,2025-11-27 23:11:32.470615 +00:00,0,0.857731
SOL,USDT,1h,2025-11-27 23:11:32.470615 +00:00,0,0.114689
USDT,BTC,1h,2025-11-27 23:11:32.470615 +00:00,0,0.158118
USDT,ETH,1h,2025-11-27 23:11:32.470615 +00:00,0,0.206899
USDT,SOL,1h,2025-11-27 23:11:32.470615 +00:00,0,0.114689
BTC,ETH,4h,2025-11-27 23:11:32.470615 +00:00,0,0.900343
BTC,SOL,4h,2025-11-27 23:11:32.470615 +00:00,0,0.803370
BTC,USDT,4h,2025-11-27 23:11:32.470615 +00:00,0,0.347305
ETH,BTC,4h,2025-11-27 23:11:32.470615 +00:00,0,0.900343
ETH,SOL,4h,2025-11-27 23:11:32.470615 +00:00,0,0.862346
ETH,USDT,4h,2025-11-27 23:11:32.470615 +00:00,0,0.345315
SOL,BTC,4h,2025-11-27 23:11:32.470615 +00:00,0,0.803370
SOL,ETH,4h,2025-11-27 23:11:32.470615 +00:00,0,0.862346
SOL,USDT,4h,2025-11-27 23:11:32.470615 +00:00,0,0.324595
USDT,BTC,4h,2025-11-27 23:11:32.470615 +00:00,0,0.347305
USDT,ETH,4h,2025-11-27 23:11:32.470615 +00:00,0,0.345315
USDT,SOL,4h,2025-11-27 23:11:32.470615 +00:00,0,0.324595
BTC,ETH,1h,2025-11-27 23:15:19.304558 +00:00,0,0.895854
BTC,SOL,1h,2025-11-27 23:15:19.304558 +00:00,0,0.825341
BTC,USDT,1h,2025-11-27 23:15:19.304558 +00:00,0,0.158239
ETH,BTC,1h,2025-11-27 23:15:19.304558 +00:00,0,0.895854
ETH,SOL,1h,2025-11-27 23:15:19.304558 +00:00,0,0.857764
ETH,USDT,1h,2025-11-27 23:15:19.304558 +00:00,0,0.207044
SOL,BTC,1h,2025-11-27 23:15:19.304558 +00:00,0,0.825341
SOL,ETH,1h,2025-11-27 23:15:19.304558 +00:00,0,0.857764
SOL,USDT,1h,2025-11-27 23:15:19.304558 +00:00,0,0.114871
USDT,BTC,1h,2025-11-27 23:15:19.304558 +00:00,0,0.158239
USDT,ETH,1h,2025-11-27 23:15:19.304558 +00:00,0,0.207044
USDT,SOL,1h,2025-11-27 23:15:19.304558 +00:00,0,0.114871
BTC,ETH,4h,2025-11-27 23:15:19.304558 +00:00,0,0.900298
BTC,SOL,4h,2025-11-27 23:15:19.304558 +00:00,0,0.803097
BTC,USDT,4h,2025-11-27 23:15:19.304558 +00:00,0,0.347464
ETH,BTC,4h,2025-11-27 23:15:19.304558 +00:00,0,0.900298
ETH,SOL,4h,2025-11-27 23:15:19.304558 +00:00,0,0.862207
ETH,USDT,4h,2025-11-27 23:15:19.304558 +00:00,0,0.344465
SOL,BTC,4h,2025-11-27 23:15:19.304558 +00:00,0,0.803097
SOL,ETH,4h,2025-11-27 23:15:19.304558 +00:00,0,0.862207
SOL,USDT,4h,2025-11-27 23:15:19.304558 +00:00,240,0.332220
USDT,BTC,4h,2025-11-27 23:15:19.304558 +00:00,0,0.347464
USDT,ETH,4h,2025-11-27 23:15:19.304558 +00:00,0,0.344465
USDT,SOL,4h,2025-11-27 23:15:19.304558 +00:00,-240,0.332220
BTC,ETH,1h,2025-11-27 23:17:56.385836 +00:00,0,0.895848
BTC,SOL,1h,2025-11-27 23:17:56.385836 +00:00,0,0.825343
BTC,USDT,1h,2025-11-27 23:17:56.385836 +00:00,0,0.158260
BTC,XRP,1h,2025-11-27 23:17:56.385836 +00:00,0,0.845424
ETH,BTC,1h,2025-11-27 23:17:56.385836 +00:00,0,0.895848
ETH,SOL,1h,2025-11-27 23:17:56.385836 +00:00,0,0.857766
ETH,USDT,1h,2025-11-27 23:17:56.385836 +00:00,0,0.207072
